addressRegion,latitude,longitude,price,property-beds,property-baths,property-sqft,Acreage,Basement,Bath,Exterior,Exterior Features,Features,Fireplace,Heating,Partial Bathroom,Property Type,Roof,Sewer,Square Footage,Subdivision,Type,Parking,Flooring,Parking Features,Fireplace Features,MLS,has_fireplace,has_garage,dist_to_toronto_km,region_median_price
0,52.96357951,-112.8329014,429000.0,3.0,3.0,1354.0,5.09,104,1.0,841,841,1280,150,240,1.0,8,5,17,1354.0,1115,8,1142,61,1142,223,A2193901,1,1,2647.326246501568,459700.0
0,51.2817487,-114.0269471,430000.0,2.0,3.0,,0.6,382,1.0,986,986,1334,281,240,1.0,9,5,38,1415.0,552,9,1183,89,1183,494,A2194716,1,1,2705.8412054489067,459700.0
0,52.377077,-113.786785,439900.0,3.0,3.0,1275.0,0.13,183,1.0,996,996,274,86,481,1.0,8,5,36,1275.0,1200,8,272,500,272,110,A2194466,1,0,2701.673904972684,459700.0
0,56.708287,-111.377877,629900.0,4.0,3.0,1522.0,0.11,54,1.0,986,986,730,95,263,1.0,8,5,38,1522.0,379,8,640,21,640,135,A2194189,1,1,2659.689708397363,459700.0
0,54.71719,-113.285341,84000.0,1.0,1.0,,0.6,125,1.0,1024,1024,1122,281,285,1.0,8,10,38,1415.0,1115,8,991,1576,991,494,E4421725,1,1,2713.7763549579518,459700.0
0,53.53521,-113.499726,215000.0,2.0,2.0,,0.6,382,1.0,125,125,1093,155,133,1.0,1,112,38,1415.0,1115,1,975,1576,975,494,E4421724,1,0,2701.6971089282197,459700.0
0,53.542877,-113.498058,389900.0,1.0,2.0,,0.6,382,1.0,957,957,1097,281,405,1.0,1,112,38,1415.0,1115,1,979,1576,979,494,E4421723,1,0,2701.735460516821,459700.0
0,51.1385212,-114.1867962,769000.0,6.0,4.0,,0.11,54,1.0,300,300,216,80,156,1.0,8,5,38,1415.0,408,8,216,43,216,104,A2194382,1,1,2715.771445909851,459700.0
1,52.47004476,-122.0365339,620000.0,3.0,0.0,,291.95,382,1.0,2226,2226,2378,281,328,1.0,10,112,38,1415.0,1115,10,2159,1576,2159,494,R2967145,1,0,3260.325472119372,749945.0
0,51.1774291,-114.0914497,1099786.0,8.0,6.0,,0.09,181,1.0,996,996,730,95,240,1.0,8,5,38,1415.0,562,8,640,60,640,135,A2193859,1,1,2709.447268254625,459700.0
0,53.693103,-113.598863,1500000.0,5.0,5.0,,0.71,102,1.0,849,849,1031,155,290,1.0,8,112,25,1415.0,1115,8,2159,13,2159,494,E4421722,1,0,2711.1958414383175,459700.0
0,50.88200243,-113.9781842,369900.0,2.0,2.0,867.0,0.6,382,1.0,279,279,887,281,1,1.0,1,112,38,867.0,658,1,796,55,796,494,A2193573,1,1,2699.313643583997,459700.0
1,55.133109,-120.997551,63735.0,3.0,2.0,1512.0,0.6,382,1.0,2226,2226,2378,281,353,1.0,1,112,21,1512.0,1115,1,2159,1576,2159,494,10335629,1,0,3207.3458179996464,749945.0
1,49.2804279,-122.982896,629000.0,1.0,1.0,630.0,0.6,382,1.0,2226,2226,1017,281,164,1.0,1,112,38,630.0,558,1,907,1576,907,494,R2967151,1,1,3345.4844658389484,749945.0
1,50.6182247,-116.0722724,299900.0,2.0,2.0,1184.0,0.6,382,0.0,1184,1184,1386,155,2,0.0,1,112,21,1184.0,1115,1,1208,512,1208,193,10335470,1,0,2845.242652725426,749945.0
